id	Species	Year	Type	State	Date	Location	Latitude	Longitude	Range	Region	Elevation	Time	Band.	Sex	Age	Blood	Fecal	CP	Photo	Measurer	Wing	Tail	Tarsus	Notes	Bill_Culmen	Bill_Exposed	Bill_Depth	Bill_Width	W_bar	W_bar_width	Chin_throat	Chin	Throat	Nape	Back	Rump	Breast	Belly	Sum	Complete_plumage	Plumage_score	Treatment.2021	Age.2021	Mass	Box	Nest	sum2	Plumage_score2	Tot_for_plu_sc
EXTR-NEG-2022-1	NA	2022	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
EXTR-NEG-2022-2	NA	2022	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
JL-NEG-EXT-1	NA	2021	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
MB-EXT-NEG-1	NA	2021	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NEG-EXTR-1	NA	2020	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
NEG-EXTR-2	NA	2020	neg_extr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-1	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-4	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-6	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-8	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
neg-pcr-9	NA	NA	neg-pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
VF28B03	BWWA	2022	sample	PA	28-Jun	State Game Lands 63	41.237922	-79.472108	Allopatric	NW	433	9:45	297040435	M	AHY	Y	Y	3	Y-Canon green	MB	59	48	16.9		8.1	10.2	3.1	3	0	0	0	0	0	0	0	0	0	0	0	Y	1	NA	NA	NA	NA	NA	0	1	
VF30B01	BWWA	2022	sample	PA	30-Jun	State Game Lands 263	41.955177	-79.619384	Allopatric	NW	500	7:02	297040436	M	AHY	Y	Y	1	Y-Canon green	MB	60	50	16.9	"Molt? Feathers moled from wing bar, not able to score."	8	10.7	3.3	3.1	0	NA	0	0	0	0	0	0	0	0	0	N	1	NA	NA	NA	NA	NA	0	1	29
VF30B02	BWWA	2022	sample	PA	30-Jun	State Game Lands 263	41.955739	-79.618272	Allopatric	NW	505	8:37	297040437	M	AHY	Y	Y	2	Y-Canon green	MB	60	47	17.4		8	9.9	3.3	3.3	1	1	0	0	0	0	0	0	0	0	2	Y	0.9375	NA	NA	NA	NA	NA	2	0.9375	
VF30B03	BWWA	2022	sample	PA	30-Jun	State Game Lands 263	41.955449	-79.617277	Allopatric	NW	504	9:32	297040438	M	AHY	Y	Y	1	Y-Canon green	MB	59	46	18.2	"Molting. Only 3 tail feathers. Molting wing bar, not able to score. Collected tail feather from bag."	8	11.1	3.5	3.4	1	NA	0	0	0	0	0	0	0	0	1	N	0.965517241	NA	NA	NA	NA	NA	1	0.965517241	29
VF30B04	BWWA	2022	sample	PA	30-Jun	State Game Lands 263	41.955449	-79.617277	Allopatric	NW	504	9:34	297040439	M	AHY	Y	Y	1	Y-Canon green	MB	60	47	17.1	"Molting, missing tail feathers. Same net as VF30B03"	7.9	10	2.9	2.8	1	NA	0	0	0	0	0	0	0	0	1	N	0.965517241	NA	NA	NA	NA	NA	1	0.965517241	29
VG01A01	EABL	2022	sample	PA	1-Jul	Arboretum	NA	NA	NA	NA	NA	7:22	294109403	F	ASY	N	Y	0	N	AC	103	NA	23.35		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	food	adult	30.44	71	71X	NA	NA	
VG01B01	BRWA	2022	sample	PA	1-Jul	Bald Eagle SP	40.993358	-77.701991	Sympatric	Central	209	6:31	297040440	M	AHY	Y	Y	1	Y-Canon green	MB	63	NA	18.3	"Molting, no tail. Two ticks below right eye."	8.5	11.2	3.4	3.1	4	3	0	0	0	3	3	3	3	3	22	Y	0.3125	NA	NA	NA	NA	NA	22	0.3125	
VG01B02	BRWA	2022	sample	PA	1-Jul	Bald Eagle SP	40.992678	-77.702968	Sympatric	Central	197	7:35	297040441	M	AHY	Y	Y	1	Y-Canon green	MB	61	47	17.5	"Black mask pretty full, yellow on chin. See photos for belly score"	8.1	9.9	3.1	3.1	4	2	0	0	0	4	4	3	2	3	22	Y	0.3125	NA	NA	NA	NA	NA	22	0.3125	
VG01B03	BWWA	2022	sample	PA	1-Jul	Bald Eagle SP	40.990589	-77.705304	Sympatric	Central	199	9:01	297040442	M	AHY	Y	Y	1	Y-Canon green	MB	65	50	17.5	"Same net as COYEs. Poop samples: both VG01B03 and VG01B04 (touched finger). Released before plumage score, MB scored same day from photos."	8.1	10.3	3.1	3.1	1	0	0	0	0	0	0	0	0	0	1	Y	0.96875	NA	NA	NA	NA	NA	1	0.96875	
VG03A01	EABL	2022	sample	PA	3-Jul	Arboretum	NA	NA	NA	NA	NA	12:10	294109405	F	ASY	N	Y	0	N	AC	100	NA	23.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	control	adult	31.83	58	58X	NA	NA	
VG04A01	EABL	2022	sample	PA	4-Jul	Arboretum	NA	NA	NA	NA	NA	7:27	288111104	F	ASY	N	Y	0	N	AC	102	NA	22.69		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	food	adult	33.05	55	55X	NA	NA	
VG04A02	EABL	2022	sample	PA	4-Jul	Arboretum	NA	NA	NA	NA	NA	8:48	294109466	F	SY	N	Y	0	N	AC	100	NA	28.48		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	food	chick	31.42	36	36Y	NA	NA	
VG07A01	EABL	2022	sample	PA	7-Jul	Arboretum	NA	NA	NA	NA	NA	8:23	294109401	F	ASY	N	Y	0	N	AC	100	NA	23.44		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	food	adult	30.01	13	13	NA	NA	
VG07A02	EABL	2022	sample	PA	7-Jul	Arboretum	NA	NA	NA	NA	NA	8:42	288111110	F	ASY	N	Y	0	N	AC	100	NA	22.77		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	control	adult	29.6	93	93	NA	NA	
VG08A01	EABL	2022	sample	PA	8-Jul	Arboretum	NA	NA	NA	NA	NA	8:43	288111105	F	ASY	N	Y	0	N	AC	99	NA	21.15		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	control	adult	28.67	53	53X	NA	NA	
VG11K01	BWWA	2022	sample	MI	11-Jul	FCTC-MOTT	42.296944	-85.324167	Sympatric	LPS	NA	6:50	291044860	F	SY	Y	Y	NA	N	RK	60		14	BP 3					NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
VG12A01	EABL	2022	sample	PA	12-Jul	Arboretum	NA	NA	NA	NA	NA	9:31	294109427	F	ASY	N	Y	0	N	AC	103	NA	23.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	food	adult	31.66	99	99X	NA	NA	
